id,Project,Size in U,Units,Coût Total (USD),Is_Commercial,Incl_Launch,Année (Launch),Mission_Type,Organization,Manufactured (AIVT) by,Complexity_Score,Orbit_Type
70,SEAM,3.0,1,3.0,1,1,2017,Science/Astronomy,Royal Institute of Technology (KTH),GomSpace,2.0,SSO
71,SOAR,3.0,1,6.15,1,0,2021,Science/Astronomy,University of Manchester,GomSpace,2.0,LEO
72,SpIRIT,6.0,1,4.76,1,0,2023,Science/Astronomy,University of Melbourne,Inovor,1.8,SSO
73,SPRITE,12.0,1,4.0,0,0,2024,Science/Astronomy,University of Colorado Boulder,In-house,1.8,LEO
74,SROC,12.0,1,4.7,1,0,2024,Technology Demo,Politecnico di Torino,Terran Orbital,0.8,LEO
75,SULIS,12.0,1,105.0,0,1,2025,Science/Astronomy/Deep Space,Northumbria University,?,3.8,Deep Space
76,SunRISE,6.0,6,62.6,0,1,2025,Deep Space,NASA Jet Propulsion Laboratory,Utah State University Space Dynamics Laboratory,3.5,GEO
77,SWARM-EX,3.0,3,4.0,0,0,2024,Science/Astronomy,Olin College,In-house,1.8,LEO
78,TEMPEST-D,6.0,1,8.2,1,0,2018,Earth Observation,Colorado State University,Blue Canyon,1.3,LEO
79,Tiger-2,6.0,1,2.4,1,0,2021,Communications,OQ Technology,NanoAvionics,1.3,LEO
80,Tiger-4,6.0,1,2.4,1,0,2022,Communications,OQ Technology,NanoAvionics,1.3,LEO
81,Tiger-7,6.0,1,2.4,1,0,2023,Communications,OQ Technology,NanoAvionics,1.3,LEO
82,Tiger-8,6.0,1,2.4,1,0,2023,Communications,OQ Technology,NanoAvionics,1.3,LEO
83,UKube-1,3.0,1,1.0,1,0,2014,Technology Demo,UK Space Agency,AAC Clyde Space,1.0,LEO
84,VPM,6.0,1,4.5,0,1,2020,Science/Astronomy,Air Force Research Laboratory (AFRL),In-house,2.7,LEO
85,WindCube,6.0,1,6.5,0,0,2024,Earth Observation,National Center for Atmospheric Research (NCAR),In-house,1.3,SSO
86,xSPANCION,6.0,1,12.1,1,0,2024,Technology Demo,AAC Clyde Space,AAC Clyde Space,1.0,LEO
87,XVI,12.0,1,10.0,1,1,2024,Military/Defense,Viasat,Blue Canyon,1.7,LEO
88,Ymir,3.0,1,1.94,1,0,2023,Technology Demo,"AOS (AAC Clyde Space, Saab, Orbcomm)",AAC Clyde Space,1.0,LEO
